"BIOSEV","NM","7/27/2020","7/27/2020","7/27/2020","7/27/2020","9/2/2020","","9/30/2020","","","","9/19/2020","","11/12/2020","","2/11/2021","","7/28/2020","","9/18/2020","","11/13/2020","","2/12/2021",""
"BK BRASIL","NM","2/19/2020","2/19/2020","2/19/2020","2/19/2020","7/31/2020","7/31/2020","7/30/2020","7/30/2020","","","5/28/2020","5/28/2020","8/6/2020","","11/10/2020","","2/20/2020","","5/29/2020","","8/7/2020","","11/11/2020",""
"BR BROKERS","NM","3/30/2020","3/30/2020","3/30/2020","3/30/2020","4/30/2020","4/30/2020","7/31/2020","7/31/2020","","","6/29/2020","6/29/2020","7/31/2020","","11/6/2020","","3/31/2020","","6/30/2020","","8/3/2020","","11/9/2020",""
"BR MALLS PAR","NM","3/12/2020","3/12/2020","3/12/2020","3/12/2020","7/31/2020","","7/29/2020","7/29/2020","","","6/4/2020","6/4/2020","8/13/2020","","11/12/2020","","3/13/2020","","6/5/2020","","8/14/2020","","11/13/2020",""
"BR PROPERT","NM","2/5/2020","2/5/2020","2/5/2020","2/5/2020","4/24/2020","4/24/2020","6/17/2020","6/17/2020","","","5/6/2020","5/6/2020","8/5/2020","","11/4/2020","","2/6/2020","","5/7/2020","","8/6/2020","","11/5/2020",""
"BRADESCO","N1","2/5/2020","2/5/2020","2/5/2020","2/5/2020","3/10/2020","3/10/2020","5/29/2020","5/29/2020","11/10/2020","","4/30/2020","4/30/2020","7/30/2020","","10/29/2020","","","","","","","","",""
"BRADESPAR","N1","3/26/2020","3/26/2020","3/26/2020","3/26/2020","7/28/2020","7/28/2020","5/29/2020","5/29/2020","12/1/2020","","5/14/2020","5/14/2020","8/13/2020","","11/12/2020","","","","","","","","",""
"BRASIL","NM","2/13/2020","2/13/2020","2/13/2020","2/13/2020","7/30/2020","7/30/2020","6/26/2020","6/26/2020","","","5/7/2020","5/7/2020","8/6/2020","","11/5/2020","","2/14/2020","","5/8/2020","","8/7/2020","","11/6/2020",""
"BRASILAGRO","NM","8/27/2020","","8/27/2020","","10/15/2020","","11/30/2020","","","","11/9/2020","5/6/2020","2/8/2021","","5/10/2021","","8/28/2020","","11/10/2020","","2/9/2021","","5/11/2021",""
"BRASKEM","N1","4/3/2020","4/3/2020","4/3/2020","4/3/2020","5/29/2020","5/29/2020","7/31/2020","7/31/2020","12/1/2020","","6/2/2020","6/2/2020","8/5/2020","","11/5/2020","","","","","","","","",""
"BRF SA","NM","3/3/2020","3/3/2020","3/3/2020","3/3/2020","4/27/2020","4/27/2020","6/30/2020","6/30/2020","","","5/11/2020","5/10/2020","8/12/2020","","11/9/2020","","3/3/2020","","5/11/2020","","8/13/2020","","11/10/2020",""
"BRQ","MA","2/14/2020","2/14/2020","2/14/2020","2/14/2020","4/20/2020","4/20/2020","5/29/2020","5/29/2020","","","5/15/2020","5/15/2020","8/14/2020","","11/13/2020","","","","","","","","",""
"BTGP BANCO","N2","2/14/2020","2/14/2020","2/14/2020","2/14/2020","4/28/2020","4/28/2020","6/22/2020","6/22/2020","11/24/2020","","5/12/2020","5/12/2020","8/11/2020","","11/10/2020","","","","","","","","",""
"CAMIL","NM","5/12/2020","5/12/2020","5/12/2020","5/12/2020","6/30/2020","6/30/2020","7/31/2020","","","","7/7/2020","7/7/2020","10/8/2020","","1/7/2021","","5/13/2020","","7/8/2020","","10/9/2020","","1/8/2021",""
