NOME DE PREGÃO,SEGMENTO,Demonstrações Financeiras do Exercício,Unnamed: 3,Unnamed: 4,Unnamed: 5,Assembléia Geral Ordinária,Unnamed: 7,Formulário de Referência,Unnamed: 9,Reunião Pública com Analistas,Unnamed: 11,Informações do 1º Trimestre - ITR,Unnamed: 13,Informações do 2º Trimestre - ITR,Unnamed: 15,Informações do 3º Trimestre - ITR,Unnamed: 17,Apresentação Pública sobre Divulgação de Resultados,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Atualizado,2020-10-16 00:00:00
,,Demonstrações Financeiras Anuais Completas,,Padronizadas - DFP,,,,,,,,,,,,,,Exercício Social,,1º trimestre,,2º trimestre,,3º trimestre,,,,
,,Previsão,Entrega,Previsão,Entrega,Previsão,Realização ,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Entrega,Previsão,Entrega,Previsão,Entrega,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,Previsão,Disponibilização do Material,,,
PINE,N2,2020-02-18 00:00:00,2020-02-18 00:00:00,2020-02-18 00:00:00,2020-02-18 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-06-19 00:00:00,2020-06-19 00:00:00,2020-12-01 00:00:00,,2020-05-13 00:00:00,2020-05-13 00:00:00,2020-08-12 00:00:00,2020-08-12 00:00:00,2020-11-11 00:00:00,,,,,,,,,,,,
PLANOEPLANO,NM,2020-09-04 00:00:00,2020-09-04 00:00:00,2020-09-04 00:00:00,2020-09-04 00:00:00,2020-09-04 00:00:00,2020-09-04 00:00:00,2020-09-04 00:00:00,2020-09-04 00:00:00,,,2020-09-04 00:00:00,2020-09-04 00:00:00,2020-09-04 00:00:00,2020-08-25 00:00:00,2020-11-12 00:00:00,,,,2020-09-04 00:00:00,,2020-09-04 00:00:00,,2020-11-13 00:00:00,,,,
POMIFRUTAS,NM,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-04-29 00:00:00,2020-04-29 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,,,2020-06-29 00:00:00,2020-06-29 00:00:00,2020-08-14 00:00:00,2020-08-14 00:00:00,2020-11-16 00:00:00,,2020-04-06 00:00:00,,2020-07-27 00:00:00,,2020-08-21 00:00:00,,2020-11-20 00:00:00,,,,
PORTO SEGURO,NM,2020-02-03 00:00:00,2020-02-03 00:00:00,2020-02-03 00:00:00,2020-02-03 00:00:00,2020-03-31 00:00:00,2020-03-31 00:00:00,2020-05-29 00:00:00,2020-05-29 00:00:00,,,2020-05-04 00:00:00,2020-05-04 00:00:00,2020-08-03 00:00:00,2020-08-03 00:00:00,2020-11-03 00:00:00,,2020-02-05 00:00:00,,2020-05-06 00:00:00,2020-05-06 00:00:00,2020-08-05 00:00:00,2020-08-05 00:00:00,2020-11-05 00:00:00,,,,
PORTOBELLO,NM,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-03-20 00:00:00,2020-04-28 00:00:00,2020-04-28 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,,,2020-05-25 00:00:00,2020-05-25 00:00:00,2020-08-10 00:00:00,2020-08-10 00:00:00,2020-11-09 00:00:00,,2020-03-26 00:00:00,,2020-05-29 00:00:00,2020-05-28 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-12 00:00:00,,,,
POSITIVO TEC,NM,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-03-04 00:00:00,2020-06-01 00:00:00,2020-06-01 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,,,2020-06-08 00:00:00,2020-06-08 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-09 00:00:00,,2020-03-05 00:00:00,,2020-06-09 00:00:00,2020-06-09 00:00:00,2020-08-14 00:00:00,2020-08-14 00:00:00,2020-11-10 00:00:00,,,,
PRATICA,MA,2020-03-30 00:00:00,2020-03-31 00:00:00,2020-03-30 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,,,2020-06-29 00:00:00,2020-07-13 00:00:00,2020-08-31 00:00:00,2020-09-01 00:00:00,2020-11-16 00:00:00,,,,,,,,,,,,
PRINER,NM,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-04-30 00:00:00,2020-04-30 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,,,2020-06-29 00:00:00,2020-06-29 00:00:00,2020-08-14 00:00:00,2020-08-14 00:00:00,2020-11-13 00:00:00,,2020-04-02 00:00:00,,2020-07-01 00:00:00,2020-07-01 00:00:00,2020-08-18 00:00:00,2020-08-18 00:00:00,2020-11-17 00:00:00,,,,
PROFARMA,NM,2020-03-10 00:00:00,2020-03-11 00:00:00,2020-03-10 00:00:00,2020-03-11 00:00:00,2020-04-22 00:00:00,2020-04-22 00:00:00,2020-05-22 00:00:00,2020-05-22 00:00:00,,,2020-05-06 00:00:00,2020-05-06 00:00:00,2020-08-16 00:00:00,2020-08-17 00:00:00,2020-11-04 00:00:00,,2020-03-11 00:00:00,,2020-05-07 00:00:00,2020-05-07 00:00:00,2020-08-17 00:00:00,2020-08-17 00:00:00,2020-11-05 00:00:00,,,,
QUALICORP,NM,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-03-12 00:00:00,2020-04-30 00:00:00,2020-04-30 00:00:00,2020-05-29 00:00:00,2020-05-29 00:00:00,,,2020-05-07 00:00:00,2020-05-07 00:00:00,2020-08-25 00:00:00,2020-08-25 00:00:00,2020-11-10 00:00:00,,2020-03-13 00:00:00,,2020-05-08 00:00:00,2020-05-07 00:00:00,2020-08-26 00:00:00,2020-08-26 00:00:00,2020-11-11 00:00:00,,,,
QUALITY SOFT,MA,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-03-30 00:00:00,2020-04-30 00:00:00,2020-04-30 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,,,2020-05-20 00:00:00,2020-05-20 00:00:00,2020-08-14 00:00:00,2020-08-14 00:00:00,2020-11-13 00:00:00,,,,,,,,,,,,
QUERO-QUERO,NM,2020-06-17 00:00:00,2020-06-17 00:00:00,2020-06-17 00:00:00,2020-06-17 00:00:00,2020-07-14 00:00:00,2020-07-14 00:00:00,2020-08-03 00:00:00,2020-08-03 00:00:00,,,2020-06-17 00:00:00,2020-06-17 00:00:00,2020-08-12 00:00:00,2020-08-12 00:00:00,2020-11-11 00:00:00,,2020-03-30 00:00:00,,2020-06-18 00:00:00,,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-12 00:00:00,,,,
RAIADROGASIL,NM,2020-02-19 00:00:00,2020-02-19 00:00:00,2020-02-19 00:00:00,2020-02-19 00:00:00,2020-04-08 00:00:00,2020-04-08 00:00:00,2020-05-29 00:00:00,2020-05-29 00:00:00,,,2020-04-28 00:00:00,2020-04-28 00:00:00,2020-08-11 00:00:00,2020-08-11 00:00:00,2020-10-27 00:00:00,,2020-02-20 00:00:00,,2020-04-29 00:00:00,2020-04-29 00:00:00,2020-08-12 00:00:00,2020-08-12 00:00:00,2020-10-28 00:00:00,,,,
RANDON PART,N1,2020-03-05 00:00:00,2020-03-05 00:00:00,2020-03-05 00:00:00,2020-03-05 00:00:00,2020-04-13 00:00:00,2020-04-13 00:00:00,2020-06-30 00:00:00,2020-06-30 00:00:00,2020-08-27 00:00:00,2020-08-27 00:00:00,2020-06-04 00:00:00,2020-06-04 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-12 00:00:00,,,,,,,,,,,,
RENOVA,N2,2020-04-16 00:00:00,2020-04-16 00:00:00,2020-04-16 00:00:00,2020-04-16 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,2020-12-01 00:00:00,,2020-07-13 00:00:00,2020-06-29 00:00:00,2020-08-28 00:00:00,2020-08-28 00:00:00,2020-11-13 00:00:00,,,,,,,,,,,,
RNI,NM,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-03-11 00:00:00,2020-04-23 00:00:00,2020-04-23 00:00:00,2020-07-31 00:00:00,2020-07-31 00:00:00,,,2020-05-13 00:00:00,2020-05-13 00:00:00,2020-08-12 00:00:00,2020-08-12 00:00:00,2020-11-11 00:00:00,,2020-03-12 00:00:00,,2020-05-14 00:00:00,2020-05-13 00:00:00,2020-08-13 00:00:00,2020-08-12 00:00:00,2020-11-12 00:00:00,,,,
ROSSI RESID,NM,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-03-18 00:00:00,2020-04-29 00:00:00,2020-04-29 00:00:00,2020-05-29 00:00:00,2020-05-29 00:00:00,,,2020-06-09 00:00:00,2020-06-09 00:00:00,2020-08-12 00:00:00,2020-08-12 00:00:00,2020-11-11 00:00:00,,2020-03-19 00:00:00,,2020-06-10 00:00:00,2020-06-10 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-12 00:00:00,,,,
RUMO S.A.,NM,2020-02-13 00:00:00,2020-02-13 00:00:00,2020-02-13 00:00:00,2020-02-13 00:00:00,2020-07-22 00:00:00,2020-07-22 00:00:00,2020-07-20 00:00:00,2020-07-20 00:00:00,,,2020-05-27 00:00:00,2020-05-27 00:00:00,2020-08-13 00:00:00,2020-08-13 00:00:00,2020-11-11 00:00:00,,2020-02-14 00:00:00,,2020-05-28 00:00:00,2020-05-28 00:00:00,2020-08-14 00:00:00,2020-08-13 00:00:00,2020-11-12 00:00:00,,,,
